gene,edge,net
K00524,2440,ko01100
K01494,2441,ko01100
K01520,3059,ko01100
K00560,2442,ko01100
K00943,1071,ko01100
K00940,2443,ko01100
K00940,2444,ko01100
K11204,1995,ko01100
K00681,2456,ko01100
K01255,1011,ko01100
K21456,1009,ko01100
K00824,1943,ko01100
K01775,6726,ko01100
K21898,1942,ko01100
"NA",2457,ko01100
"NA",2458,ko01100
"NA",3001,ko01100
K01425,2459,ko01100
K01776,3065,ko01100
K01763,725,ko01100
K01008,2460,ko01100
K01841,2461,ko01100
K09459,2462,ko01100
K03430,2463,ko01100
K00967,2464,ko01100
"NA",2465,ko01100
K00993,2466,ko01100
"NA",2467,ko01100
K01580,2468,ko01100
K10712,1889,ko01100
"NA",2469,ko01100
K00659,2470,ko01100
K03851,6166,ko01100
K13524,984,ko01100
K13035,1997,ko01100
K01580,6167,ko01100
"NA",4064,ko01100
K08660,2471,ko01100
K00512,3026,ko01100
K00070,2375,ko01100
K05296,2376,ko01100
K07434,2377,ko01100
K07434,2378,ko01100
K07434,2379,ko01100
K05296,2380,ko01100
K07434,2381,ko01100
K07434,2382,ko01100
K07434,2383,ko01100
K13421,2445,ko01100
K00995,2475,ko01100
K01094,2965,ko01100
K08744,137,ko01100
K00981,2476,ko01100
K00655,2477,ko01100
K00629,2478,ko01100
K17103,2479,ko01100
K08730,2480,ko01100
K00993,2481,ko01100
K00994,2483,ko01100
K01115,2585,ko01100
K00967,2574,ko01100
K00894,2485,ko01100
K00968,2486,ko01100
K00866,2487,ko01100
K00570,2587,ko01100
K00570,2488,ko01100
K00551,2489,ko01100
K08729,2586,ko01100
K01080,1867,ko01100
K01115,139,ko01100
K09881,2490,ko01100
K01046,4328,ko01100
K06119,2491,ko01100
K03429,2494,ko01100
"NA",2492,ko01100
K19005,2493,ko01100
K03715,1699,ko01100
K09480,2964,ko01100
K06123,2495,ko01100
K00803,2496,ko01100
K06123,2966,ko01100
"NA",2497,ko01100
K00994,2499,ko01100
K13510,2500,ko01100
K13510,2501,ko01100
"NA",2502,ko01100
K01080,2503,ko01100
K00993,2504,ko01100
K13512,2505,ko01100
K20656,2506,ko01100
K00993,2507,ko01100
"NA",2508,ko01100
K04708,2509,ko01100
K04709,2510,ko01100
K04712,2511,ko01100
K04714,2512,ko01100
K04628,2513,ko01100
K01019,2514,ko01100
K01441,2515,ko01100
K04718,2963,ko01100
K01634,2516,ko01100
K00654,2517,ko01100
K00458,2519,ko01100
K08021,2520,ko01100
K08022,2521,ko01100
K17709,2522,ko01100
K08726,2962,ko01100
K17709,2523,ko01100
K08726,2524,ko01100
K17709,2525,ko01100
K08726,2526,ko01100
K17709,2527,ko01100
K08726,2528,ko01100
K07422,2529,ko01100
K07415,2557,ko01100
K00461,2558,ko01100
K00461,2530,ko01100
K01254,3000,ko01100
K00807,2531,ko01100
K18592,2532,ko01100
"NA",2533,ko01100
"NA",3051,ko01100
K00509,2534,ko01100
